date	time	pres (kPa)	temp (C)
5/21/2014	13:31:17	98.763	26.195
5/21/2014	13:46:17	98.763	26.195
5/21/2014	14:01:17	98.764	28.06
5/21/2014	14:16:17	98.734	28.357
5/21/2014	14:31:17	98.739	27.764
5/21/2014	14:46:17	98.727	28.655
5/21/2014	15:01:17	98.704	27.961
5/21/2014	15:16:17	98.706	25.708
5/21/2014	15:31:17	98.661	27.075
5/21/2014	15:46:17	98.645	27.665
5/21/2014	16:01:17	98.619	27.37
5/21/2014	16:16:17	98.626	27.961
5/21/2014	16:31:17	98.613	27.468
5/21/2014	16:46:17	98.623	27.665
5/21/2014	17:01:17	98.617	28.456
5/21/2014	17:16:17	98.629	27.567
5/21/2014	17:31:17	98.621	27.862
5/21/2014	17:46:17	98.642	28.06
5/21/2014	18:01:17	98.647	28.853
5/21/2014	18:16:17	98.629	28.258
5/21/2014	18:31:17	98.647	28.159
5/21/2014	18:46:17	98.67	27.961
5/21/2014	19:01:17	98.675	27.37
5/21/2014	19:16:17	98.675	26.683
5/21/2014	19:31:17	98.689	26.977
5/21/2014	19:46:17	98.681	26.585
5/21/2014	20:01:17	98.674	26.195
5/21/2014	20:16:17	98.696	25.513
5/21/2014	20:31:17	98.687	24.641
5/21/2014	20:46:17	98.706	23.869
5/21/2014	21:01:17	98.732	23.484
5/21/2014	21:16:17	98.747	23.581
5/21/2014	21:31:17	98.781	23.581
5/21/2014	21:46:17	98.798	23.484
5/21/2014	22:01:17	98.834	23.292
5/21/2014	22:16:17	98.862	23.196
5/21/2014	22:31:17	98.871	22.908
5/21/2014	22:46:17	98.897	22.525
5/21/2014	23:01:17	98.898	21.855
5/21/2014	23:16:17	98.923	20.996
5/21/2014	23:31:17	98.945	20.519
5/21/2014	23:46:17	98.945	20.519
5/22/2014	0:01:17	98.95	20.615
5/22/2014	0:16:17	98.983	20.615
5/22/2014	0:31:17	98.994	20.615
5/22/2014	0:46:17	99.023	20.519
5/22/2014	1:01:17	99.02	20.234
5/22/2014	1:16:17	99.007	19.948
5/22/2014	1:31:17	99.02	19.758
5/22/2014	1:46:17	99.024	19.853
5/22/2014	2:01:17	99.002	19.853
5/22/2014	2:16:17	99.02	19.758
5/22/2014	2:31:17	99.022	19.567
5/22/2014	2:46:17	99.028	19.472
5/22/2014	3:01:17	99.073	19.472
5/22/2014	3:16:17	99.079	19.377
5/22/2014	3:31:17	99.097	19.282
5/22/2014	3:46:17	99.108	19.282
5/22/2014	4:01:17	99.088	19.092
5/22/2014	4:16:17	99.121	19.092
5/22/2014	4:31:17	99.144	19.092
5/22/2014	4:46:17	99.155	19.092
5/22/2014	5:01:17	99.144	19.092
5/22/2014	5:16:17	99.161	18.996
5/22/2014	5:31:17	99.184	18.996
5/22/2014	5:46:17	99.188	19.092
5/22/2014	6:01:17	99.217	18.996
5/22/2014	6:16:17	99.206	18.996
5/22/2014	6:31:17	99.212	18.901
5/22/2014	6:46:17	99.25	18.996
5/22/2014	7:01:17	99.295	18.996
5/22/2014	7:16:17	99.324	18.901
5/22/2014	7:31:17	99.361	18.996
5/22/2014	7:46:17	99.373	18.996
5/22/2014	8:01:17	99.357	18.901
5/22/2014	8:16:17	99.341	18.806
5/22/2014	8:31:17	99.386	18.806
5/22/2014	8:46:17	99.412	18.901
5/22/2014	9:01:17	99.439	18.996
5/22/2014	9:16:17	99.466	19.092
5/22/2014	9:31:17	99.462	19.472
5/22/2014	9:46:17	99.473	19.472
5/22/2014	10:01:17	99.483	20.138
5/22/2014	10:16:17	99.474	20.424
5/22/2014	10:31:17	99.47	20.329
5/22/2014	10:46:17	99.472	20.615
5/22/2014	11:01:17	99.471	21.282
5/22/2014	11:16:17	99.462	21.091
5/22/2014	11:31:17	99.478	21.664
5/22/2014	11:46:17	99.501	21.664
5/22/2014	12:01:17	99.49	22.142
5/22/2014	12:16:17	99.513	22.142
5/22/2014	12:31:17	99.52	22.525
5/22/2014	12:46:17	99.518	22.717
5/22/2014	13:01:17	99.479	23.292
5/22/2014	13:16:17	99.463	23.869
5/22/2014	13:31:17	99.456	22.812
5/22/2014	13:46:17	99.434	23.966
5/22/2014	14:01:17	99.395	23.388
5/22/2014	14:16:17	99.357	23.292
5/22/2014	14:31:17	99.296	23.869
5/22/2014	14:46:17	99.282	22.429
5/22/2014	15:01:17	99.267	22.812
5/22/2014	15:16:17	99.28	22.621
5/22/2014	15:31:17	99.281	21.951
5/22/2014	15:46:17	99.27	21.951
5/22/2014	16:01:17	99.297	22.525
5/22/2014	16:16:17	99.303	23.1
5/22/2014	16:31:17	99.298	23.004
5/22/2014	16:46:17	99.303	23.1
5/22/2014	17:01:17	99.303	21.951
5/22/2014	17:16:17	99.289	21.664
5/22/2014	17:31:17	99.284	22.238
5/22/2014	17:46:17	99.275	22.525
5/22/2014	18:01:17	99.289	22.812
5/22/2014	18:16:17	99.305	22.908
5/22/2014	18:31:17	99.309	23.004
5/22/2014	18:46:17	99.312	23.292
5/22/2014	19:01:17	99.314	23.1
5/22/2014	19:16:17	99.326	21.282
5/22/2014	19:31:17	99.339	20.615
5/22/2014	19:46:17	99.372	20.615
5/22/2014	20:01:17	99.385	20.424
5/22/2014	20:16:17	99.378	20.043
5/22/2014	20:31:17	99.391	19.853
5/22/2014	20:46:17	99.402	19.853
5/22/2014	21:01:17	99.422	19.567
5/22/2014	21:16:17	99.424	19.377
5/22/2014	21:31:17	99.473	19.472
5/22/2014	21:46:17	99.464	19.282
5/22/2014	22:01:17	99.497	19.282
5/22/2014	22:16:17	99.486	19.282
5/22/2014	22:31:17	99.499	19.092
5/22/2014	22:46:17	99.499	19.092
5/22/2014	23:01:17	99.484	18.996
5/22/2014	23:16:17	99.464	18.806
5/22/2014	23:31:17	99.468	18.901
5/22/2014	23:46:17	99.479	18.901
5/23/2014	0:01:17	99.484	18.996
5/23/2014	0:16:17	99.492	18.711
5/23/2014	0:31:17	99.501	18.426
5/23/2014	0:46:17	99.517	18.521
5/23/2014	1:01:17	99.515	18.711
5/23/2014	1:16:17	99.517	18.521
5/23/2014	1:31:17	99.505	18.045
5/23/2014	1:46:17	99.523	18.426
5/23/2014	2:01:17	99.528	18.521
5/23/2014	2:16:17	99.532	18.616
5/23/2014	2:31:17	99.498	18.14
5/23/2014	2:46:17	99.547	18.236
5/23/2014	3:01:17	99.505	18.045
5/23/2014	3:16:17	99.496	17.855
5/23/2014	3:31:17	99.536	18.236
5/23/2014	3:46:17	99.55	18.521
5/23/2014	4:01:17	99.523	18.426
5/23/2014	4:16:17	99.517	18.521
5/23/2014	4:31:17	99.521	18.14
5/23/2014	4:46:17	99.579	18.426
5/23/2014	5:01:17	99.561	18.521
5/23/2014	5:16:17	99.534	18.426
5/23/2014	5:31:17	99.588	18.616
5/23/2014	5:46:17	99.61	18.616
5/23/2014	6:01:17	99.623	18.426
5/23/2014	6:16:17	99.628	18.521
5/23/2014	6:31:17	99.643	18.616
5/23/2014	6:46:17	99.654	18.616
5/23/2014	7:01:17	99.67	18.711
5/23/2014	7:16:17	99.688	18.616
5/23/2014	7:31:17	99.692	18.711
5/23/2014	7:46:17	99.717	18.521
5/23/2014	8:01:17	99.717	18.521
5/23/2014	8:16:17	99.734	18.426
5/23/2014	8:31:17	99.739	18.521
5/23/2014	8:46:17	99.75	18.521
5/23/2014	9:01:17	99.761	18.521
5/23/2014	9:16:17	99.772	18.521
5/23/2014	9:31:17	99.752	18.806
5/23/2014	9:46:17	99.757	18.901
5/23/2014	10:01:17	99.749	19.662
5/23/2014	10:16:17	99.747	19.853
5/23/2014	10:31:17	99.758	19.853
5/23/2014	10:46:17	99.734	20.043
5/23/2014	11:01:17	99.725	20.329
5/23/2014	11:16:17	99.732	20.234
5/23/2014	11:31:17	99.724	19.377
5/23/2014	11:46:17	99.743	19.758
5/23/2014	12:01:17	99.716	19.662
5/23/2014	12:16:17	99.725	20.329
5/23/2014	12:31:17	99.732	20.234
5/23/2014	12:46:17	99.748	20.805
5/23/2014	13:01:17	99.77	21.951
5/23/2014	13:16:17	99.749	21.282
5/23/2014	13:31:17	99.736	21.473
5/23/2014	13:46:17	99.717	21.76
5/23/2014	14:01:17	99.705	21.76
5/23/2014	14:16:17	99.704	22.429
5/23/2014	14:31:17	99.701	22.812
5/23/2014	14:46:17	99.7	22.333
5/23/2014	15:01:17	99.705	22.908
5/23/2014	15:16:17	99.685	21.569
5/23/2014	15:31:17	99.677	20.71
5/23/2014	15:46:17	99.663	20.424
5/23/2014	16:01:17	99.631	21.378
5/23/2014	16:16:17	99.628	20.615
5/23/2014	16:31:17	99.613	20.996
5/23/2014	16:46:17	99.628	20.615
5/23/2014	17:01:17	99.619	20.424
5/23/2014	17:16:17	99.617	20.615
5/23/2014	17:31:17	99.61	20.71
5/23/2014	17:46:17	99.622	20.71
5/23/2014	18:01:17	99.646	20.519
5/23/2014	18:16:17	99.621	20.234
5/23/2014	18:31:17	99.652	19.948
5/23/2014	18:46:17	99.631	19.758
5/23/2014	19:01:17	99.622	19.567
5/23/2014	19:16:17	99.646	19.377
5/23/2014	19:31:17	99.65	18.996
5/23/2014	19:46:17	99.666	19.092
5/23/2014	20:01:17	99.688	19.092
5/23/2014	20:16:17	99.684	18.996
5/23/2014	20:31:17	99.69	18.901
5/23/2014	20:46:17	99.697	18.806
5/23/2014	21:01:17	99.703	18.711
5/23/2014	21:16:17	99.73	18.806
5/23/2014	21:31:17	99.746	18.901
5/23/2014	21:46:17	99.752	18.806
5/23/2014	22:01:17	99.752	18.806
5/23/2014	22:16:17	99.752	18.806
5/23/2014	22:31:17	99.775	18.806
5/23/2014	22:46:17	99.759	18.711
5/23/2014	23:01:17	99.77	18.711
5/23/2014	23:16:17	99.786	18.806
5/23/2014	23:31:17	99.775	18.806
5/23/2014	23:46:17	99.77	18.711
5/24/2014	0:01:17	99.786	18.806
5/24/2014	0:16:17	99.802	18.901
5/24/2014	0:31:17	99.792	18.711
5/24/2014	0:46:17	99.79	18.426
5/24/2014	1:01:17	99.763	18.331
5/24/2014	1:16:17	99.745	18.426
5/24/2014	1:31:17	99.723	18.426
5/24/2014	1:46:17	99.732	18.616
5/24/2014	2:01:17	99.715	18.711
5/24/2014	2:16:17	99.721	18.616
5/24/2014	2:31:17	99.721	18.616
5/24/2014	2:46:17	99.701	18.426
5/24/2014	3:01:17	99.717	18.521
5/24/2014	3:16:17	99.732	18.616
5/24/2014	3:31:17	99.736	18.236
5/24/2014	3:46:17	99.745	18.426
5/24/2014	4:01:17	99.739	18.521
5/24/2014	4:16:17	99.739	18.521
5/24/2014	4:31:17	99.754	18.14
5/24/2014	4:46:17	99.765	18.14
5/24/2014	5:01:17	99.782	17.57
5/24/2014	5:16:17	99.754	18.14
5/24/2014	5:31:17	99.768	18.426
5/24/2014	5:46:17	99.772	18.521
5/24/2014	6:01:17	99.783	18.521
5/24/2014	6:16:17	99.806	18.521
5/24/2014	6:31:17	99.827	17.57
5/24/2014	6:46:17	99.825	18.236
5/24/2014	7:01:17	99.834	17.95
5/24/2014	7:16:17	99.841	18.331
5/24/2014	7:31:17	99.868	18.426
5/24/2014	7:46:17	99.874	18.331
5/24/2014	8:01:17	99.885	17.855
5/24/2014	8:16:17	99.896	17.855
5/24/2014	8:31:17	99.912	17.95
5/24/2014	8:46:17	99.903	18.236
5/24/2014	9:01:17	99.898	18.14
5/24/2014	9:16:17	99.879	18.426
5/24/2014	9:31:17	99.877	18.616
5/24/2014	9:46:17	99.87	18.711
5/24/2014	10:01:17	99.873	18.996
5/24/2014	10:16:17	99.845	19.567
5/24/2014	10:31:17	99.831	19.758
5/24/2014	10:46:17	99.825	19.853
5/24/2014	11:01:17	99.819	20.424
5/24/2014	11:16:17	99.819	20.424
5/24/2014	11:31:17	99.811	20.71
5/24/2014	11:46:17	99.8	21.187
5/24/2014	12:01:17	99.793	21.951
5/24/2014	12:16:17	99.769	21.473
5/24/2014	12:31:17	99.774	21.569
5/24/2014	12:46:17	99.765	22.525
5/24/2014	13:01:17	99.742	22.046
5/24/2014	13:16:17	99.708	22.046
5/24/2014	13:31:17	99.714	22.621
5/24/2014	13:46:17	99.677	21.855
5/24/2014	14:01:17	99.67	21.951
5/24/2014	14:16:17	99.656	22.812
5/24/2014	14:31:17	99.647	22.621
5/24/2014	14:46:17	99.644	22.333
5/24/2014	15:01:17	99.615	21.951
5/24/2014	15:16:17	99.603	21.951
5/24/2014	15:31:17	99.605	21.282
5/24/2014	15:46:17	99.585	21.569
5/24/2014	16:01:17	99.579	20.519
5/24/2014	16:16:17	99.561	20.138
5/24/2014	16:31:17	99.555	20.71
5/24/2014	16:46:17	99.561	20.615
5/24/2014	17:01:17	99.553	20.901
5/24/2014	17:16:17	99.55	20.615
5/24/2014	17:31:17	99.519	20.901
5/24/2014	17:46:17	99.518	21.091
5/24/2014	18:01:17	99.504	21.282
5/24/2014	18:16:17	99.484	21.091
5/24/2014	18:31:17	99.473	21.091
5/24/2014	18:46:17	99.477	20.71
5/24/2014	19:01:17	99.483	20.615
5/24/2014	19:16:17	99.497	20.424
5/24/2014	19:31:17	99.481	20.329
5/24/2014	19:46:17	99.521	20.234
5/24/2014	20:01:17	99.527	20.138
5/24/2014	20:16:17	99.532	20.234
5/24/2014	20:31:17	99.525	20.329
5/24/2014	20:46:17	99.521	20.234
5/24/2014	21:01:17	99.527	20.138
5/24/2014	21:16:17	99.552	19.948
5/24/2014	21:31:17	99.569	19.853
5/24/2014	21:46:17	99.565	19.758
5/24/2014	22:01:17	99.562	19.472
5/24/2014	22:16:17	99.575	19.282
5/24/2014	22:31:17	99.577	19.092
5/24/2014	22:46:17	99.571	19.187
5/24/2014	23:01:17	99.56	19.187
5/24/2014	23:16:17	99.56	19.187
5/24/2014	23:31:17	99.548	19.187
5/24/2014	23:46:17	99.555	19.092
5/25/2014	0:01:17	99.573	18.996
5/25/2014	0:16:17	99.562	18.996
5/25/2014	0:31:17	99.546	18.901
5/25/2014	0:46:17	99.546	18.901
5/25/2014	1:01:17	99.55	18.996
5/25/2014	1:16:17	99.535	18.901
5/25/2014	1:31:17	99.546	18.901
5/25/2014	1:46:17	99.535	18.901
5/25/2014	2:01:17	99.546	18.901
5/25/2014	2:16:17	99.524	18.901
5/25/2014	2:31:17	99.513	18.901
5/25/2014	2:46:17	99.528	18.996
5/25/2014	3:01:17	99.528	18.996
5/25/2014	3:16:17	99.53	18.806
5/25/2014	3:31:17	99.53	18.806
5/25/2014	3:46:17	99.537	18.711
5/25/2014	4:01:17	99.541	18.806
5/25/2014	4:16:17	99.541	18.806
5/25/2014	4:31:17	99.53	18.806
5/25/2014	4:46:17	99.524	18.901
5/25/2014	5:01:17	99.535	18.901
5/25/2014	5:16:17	99.552	18.331
5/25/2014	5:31:17	99.559	18.711
5/25/2014	5:46:17	99.548	18.711
5/25/2014	6:01:17	99.552	18.806
5/25/2014	6:16:17	99.552	18.806
5/25/2014	6:31:17	99.564	18.806
5/25/2014	6:46:17	99.575	18.806
5/25/2014	7:01:17	99.575	18.806
5/25/2014	7:16:17	99.575	18.806
5/25/2014	7:31:17	99.577	18.616
5/25/2014	7:46:17	99.561	18.521
5/25/2014	8:01:17	99.568	18.426
5/25/2014	8:16:17	99.561	18.521
5/25/2014	8:31:17	99.57	18.711
5/25/2014	8:46:17	99.568	18.901
5/25/2014	9:01:17	99.567	19.567
5/25/2014	9:16:17	99.567	20.043
5/25/2014	9:31:17	99.572	20.615
5/25/2014	9:46:17	99.571	21.282
5/25/2014	10:01:17	99.54	21.091
5/25/2014	10:16:17	99.547	21.473
5/25/2014	10:31:17	99.554	21.378
5/25/2014	10:46:17	99.555	22.333
5/25/2014	11:01:17	99.518	21.569
5/25/2014	11:16:17	99.518	22.717
5/25/2014	11:31:17	99.505	22.908
5/25/2014	11:46:17	99.488	23.484
5/25/2014	12:01:17	99.492	23.1
5/25/2014	12:16:17	99.5	23.484
5/25/2014	12:31:17	99.477	24.158
5/25/2014	12:46:17	99.53	25.708
5/25/2014	13:01:17	99.52	26.195
5/25/2014	13:16:17	99.443	24.835
5/25/2014	13:31:17	99.443	24.835
5/25/2014	13:46:17	99.43	25.708
5/25/2014	14:01:17	99.43	25.708
5/25/2014	14:16:17	99.391	25.61
5/25/2014	14:31:17	99.374	26.39
5/25/2014	14:46:17	99.35	25.222
5/25/2014	15:01:17	99.353	25.513
5/25/2014	15:16:17	99.298	25.513
5/25/2014	15:31:17	99.28	25.61
5/25/2014	15:46:17	99.255	24.641
5/25/2014	16:01:17	99.253	23.677
5/25/2014	16:16:17	99.224	23.773
5/25/2014	16:31:17	99.221	25.319
5/25/2014	16:46:17	99.178	25.125
5/25/2014	17:01:17	99.169	23.773
5/25/2014	17:16:17	99.153	25.513
5/25/2014	17:31:17	99.153	25.513
5/25/2014	17:46:17	99.154	24.158
5/25/2014	18:01:17	99.126	24.738
5/25/2014	18:16:17	99.124	24.931
5/25/2014	18:31:17	99.112	24.448
5/25/2014	18:46:17	99.106	23.869
5/25/2014	19:01:17	99.095	23.869
5/25/2014	19:16:17	99.099	23.484
5/25/2014	19:31:17	99.094	23.388
